Archivo,Título,Autor,Fecha ,Categoría,Palabras_aproximadas,Letra
01_vale_la_pena_juan_luis_guerra.txt,Vale La Pena,Juan Luis Guerra,1998,Merengue,343,
02_burbujas_de_amor_juan_luis_guerra.txt,Burbújas De Amor,Juan Luis Guerra,1990,Merengue,240,
03_frio_frio_juan_luis_guerra.txt,Frío Frío,Juan Luis Guerra,1991,Merengue,263,
04_pegame_tu_vicio_eddy_herrera.txt,Pégame Tu Vicio,Eddy Herrera,1999,Merengue,234,
05_tu_eres_ajena_eddy_herrera.txt,Tu Eres Ajena,Eddy Herrera,2001,Merengue,206,
06_presencié_tu_amor_olga_tañon.txt,Presencié Tu Amor,Olga Tañón,1993,Merengue,145,
07_asi_es_la_vida_olga_tañon.txt,Así Es La Vida,Olga Tañón,2002,Merengue,223,
08_como_olvidar_olga_tañon.txt,Como Olvidar,Olga Tañón,2001,Merengue,220,
09_la_travesia_juan_luis_guerra.txt,La Travesía,Juan Luis Guerra,2007,Merengue,357,
10_la_quiero_a_morir_sergio_vargas.txt,La Quiero A Morir,Sergio Vargas,1986,Merengue,255,
11_procura_chichi_peralta.txt,Procura,Chichi Peralta,1997,Merengue,287,
12_palomita_blanca_juan_luis_guerra.txt,Palomita Blanca,Juan Luis Guerra,1998,Merengue,172,
13_la_ventanita_sergio_vargas.txt,La Ventanita,Sergio Vargas,1992,Merengue,281,
14_suavamente_elvis_crespo.txt,Suavemente,Elvis Crespo,1998,Merengue,214,
15_tu_sonrisa_elvis_crespo.txt,Tu Sonrisa,Elvis Crespo,1998,Merengue,266,
16_nuestra_cancion_elvis_crespo.txt,Nuestra Canción,Elvis Crespo,1998,Merengue,195,
17_me_arrepiento_elvis_crespo.txt,Me Arrepiento,Elvis Crespo,1998,Merengue,150,
18_el_loco_y_la_luna_wilfrido_vargas.txt,El Loco y La Luna,Wilfrido Vargas,1985,Merengue,272,
19_volveré_wilfrido_vargas.txt,Volveré,Wilfrido Vargas,1985,Merengue,122,
20_me_enamore_eddy_herrera.txt,Me Enamoré,Eddy Herrera,1999,Merengue,163,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,Para tocar mi nariz en tu pecera
,,,,,,Y hacer burbujas de amor por donde quiera
,,,,,,"¡Oh!, pasar la noche en vela, mojado en ti"
,,,,,,
,,,,,,Un pez
,,,,,,Para bordar de corales tu cintura
,,,,,,Y hacer siluetas de amor bajo la Luna
,,,,,,"¡Oh!, saciar esta locura, mojado en ti"
,,,,,,
,,,,,,"Una noche, para hundirnos hasta el fin"
,,,,,,"Cara a cara, beso a beso"
,,,,,,Y vivir por siempre mojado en ti
,,,,,,
,,,,,,Quisiera ser un pez
,,,,,,Para tocar mi nariz en tu pecera
,,,,,,Y hacer burbujas de amor por donde quiera
,,,,,,"¡Oh!, pasar la noche en vela, mojado en ti"
,,,,,,
,,,,,,Un pez
,,,,,,Para bordar de cayenas tu cintura
,,,,,,Y hacer siluetas de amor bajo la Luna
,,,,,,"¡Oh!, saciar esta locura, mojado en ti"
,,,,,,
,,,,,,(Para tocar mi nariz en tu pecera)
,,,,,,(Y hacer burbujas de amor por donde quiera)
,,,,,,"¡Oh!, pasar la noche en vela, mojado en ti"
,,,,,,
,,,,,,Un pez
,,,,,,(Para bordar de cayenas tu cintura)
,,,,,,(Y hacer siluetas de amor bajo la Luna)
,,,,,,"¡Oh!, vaciar esta locura, mojado en ti"
,,,,,,"¡Que vale la pena, así!"
,,,,,,
,,,,,,"¡Oh, oh, oh, oh, oh, oh!"
,,,,,,"¡Eh, eh, eh, eh, eh, eh!"
,,,,,,"¡Oh, oh, oh, oh, oh, oh!"
,,,,,,"¡Eh, eh, eh!"
,,,,,,
,,,,,,"¡Ay, caray!"
,,,,,,Mi corazón se va multiplicando como arena
,,,,,,"¡Ay, caray!"
,,,,,,Solo el concilio de tus brazos lo sujeta y lo libera
,,,,,,"¡Ay, caray!"
,,,,,,Me voy tejiendo como arete sobre el marco de tu oreja
,,,,,,
,,,,,,"¡Caramba, tú ves!"
,,,,,,¡Qué barbaridad!
,,,,,,Solo como está
,,,,,,"No, no, no, no y tú ve'"
,,,,,,
,,,,,,Que vale la pena
,,,,,,¡Que vale la pena!
,,,,,,Si un amor se entrega
,,,,,,¡Que vale la pena el sacrificio!
,,,,,,Que vale la pena
,,,,,,¡Que vale la pena! I un amor te espera
,,,,,,Que vale la pena así! (Mira te digo yo)
,,,,,,
,,,,,,Que vale la pena
,,,,,,¡Que vale la pena!
,,,,,,Si un amor se entrega
,,,,,,¡Que vale la pena el sacrificio!
,,,,,,Que vale la pena
,,,,,,¡Que vale la pena! Si un amor te espera
,,,,,,¡Que vale la pena así!
