
Archivo,Título,Autor,Fecha ,Categoría,Palabras_aproximadas
01_vale_la_pena_juan_luis_guerra.txt,Vale La Pena,Juan Luis Guerra,1998,Merengue,343
02_burbujas_de_amor_juan_luis_guerra.txt,Burbújas De Amor,Juan Luis Guerra,1990,Merengue,240
03_frio_frio_juan_luis_guerra.txt,Frío Frío,Juan Luis Guerra,1991,Merengue,263
04_pegame_tu_vicio_eddy_herrera.txt,Pégame Tu Vicio,Eddy Herrera,1999,Merengue,234
05_tu_eres_ajena_eddy_herrera.txt,Tu Eres Ajena,Eddy Herrera,2001,Merengue,206
06_presencié_tu_amor_olga_tañon.txt,Presencié Tu Amor,Olga Tañón,1993,Merengue,145
07_asi_es_la_vida_olga_tañon.txt,Así Es La Vida,Olga Tañón,2002,Merengue,223
08_como_olvidar_olga_tañon.txt,Como Olvidar,Olga Tañón,2001,Merengue,220
09_la_travesia_juan_luis_guerra.txt,La Travesía,Juan Luis Guerra,2007,Merengue,357
10_la_quiero_a_morir_sergio_vargas.txt,La Quiero A Morir,Sergio Vargas,1986,Merengue,255
11_noches_de_fantasia_joseph_fonseca.txt,Noches de Fantasía,Joseph Fonseca,2000,Merengue,144
12_palomita_blanca_juan_luis_guerra.txt,Palomita Blanca,Juan Luis Guerra,1998,Merengue,172
13_la_ventanita_sergio_vargas.txt,La Ventanita,Sergio Vargas,1992,Merengue,281
14_suavamente_elvis_crespo.txt,Suavemente,Elvis Crespo,1998,Merengue,214
15_tu_sonrisa_elvis_crespo.txt,Tu Sonrisa,Elvis Crespo,1998,Merengue,266
16_nuestra_cancion_elvis_crespo.txt,Nuestra Canción,Elvis Crespo,1998,Merengue,195
17_me_arrepiento_elvis_crespo.txt,Me Arrepiento,Elvis Crespo,1998,Merengue,150
18_el_loco_y_la_luna_wilfrido_vargas.txt,El Loco y La Luna,Wilfrido Vargas,1985,Merengue,272
19_volveré_wilfrido_vargas.txt,Volveré,Wilfrido Vargas,1985,Merengue,122
20_me_enamore_eddy_herrera.txt,Me Enamoré,Eddy Herrera,1999,Merengue,163
